Ticker,Price,MarketCap,ShareToBuy
J,109.58,14147859983,18
JPM,123.04,388965274394,16
GLW,37.7,28500653132,52
GOOG,1778.1,1177193444436,1
HAS,96.32,12680268273,20
HPE,12.17,15720898065,162
ICE,114.87,66026481633,17
INTC,46.89,197525791180,42
K,64.24,21716509827,30
LW,78.18,11454998817,25
MAS,58.7,15081270746,33
MCHP,139.15,37001835691,14
IEX,199.32,15485353912,9
JNJ,157.86,404794599429,12
KR,30.9,23573270302,64
LNT,51.831,13120179838,38
LUV,45.39,27523534129,43
LYB,91.23,31328193590,21
GS,259.56,88440632238,7
IBM,128.11,110552950821,15
INCY,91.51,19745629812,21
IPG,23.89,9421501845,82
JBHT,143.23,14834902703,13
LMT,362.73,101005367566,5
HPQ,25.24,31400153887,78
ISRG,851.38,96246376705,2
JCI,47.64,33850802627,41
KEY,16.21,15926622308,122
KMB,138.12,45745480785,14
LHX,190.49,39915483919,10
KSS,39,6245530831,50
LLY,171.66,162452638313,11
GPC,98.85,14534626883,20
HBI,14.7,5056169001,134
HD,283.14,297160297838,6
HES,52.49,16523545581,37
HFC,25.46,3946882505,77
IRM,29.85,8861778947,66
LOW,166.25,125016603248,11
HRL,48.3,26556261377,40
HUM,398.15,53667991872,4
LVS,57.64,44525145204,34
LYV,74.75,16037619314,26
GPN,206.03,61760739964,9
HSY,151,32387876858,13
IVZ,17.46,8151744222,113
INTU,383.78,105186934266,5
JKHY,155.78,12396022634,12
JNPR,23.18,7398698113,85
LEG,42.22,5640094977,46
HOLX,75.68,19791806617,26
HRB,15.44,2909403442,128
IDXX,506.67,43633488360,3
KIM,14.94,6455124708,132
LH,211.24,20716675663,9
LRCX,485.18,68977114052,4
MAR,131.07,42753935749,15
GIS,59.8,36119043456,33
GL,94.42,9887859656,20
GM,42.6,61054115739,46
ILMN,379.43,56671203274,5
IQV,181.35,34230739230,10
IT,160.08,14602033368,12
MCD,219.05,160998149561,9
LIN,253.9,135827446111,7
LKQ,36.94,11050393365,53
GOOGL,1772.6,1208506864404,1
HIG,49.31,17135989339,40
HLT,105.68,29160459739,18
INFO,88.38,38286549889,22
KHC,35.73,43618940554,55
KMI,14.22,32193547470,139
LNC,49.04,9357406774,40
LEN,81.82,24883352136,24
GRMN,122.97,23585144386,16
HON,217.22,151936250129,9
IFF,116.36,12331140754,17
IPGP,227.9,11904032354,8
ITW,210.04,65029307549,9
LDOS,102.5,14898634740,19
KSU,198.9,18367640448,9
LB,39,10909580225,50
GPS,20.18,7785305535,98
GWW,410.66,22949116949,4
HAL,19.54,17738860613,101
HBAN,12.17,12869478165,162
HWM,26.75,12017334046,74
KO,52.78,233748357735,37
PBCT,13.01,5575199330,152
MU,71.76,79711973123,27
MXIM,87.31,23186634879,22
MYL,16.02,8588720380,123
NI,22.71,8355690957,87
NVR,4295.8,15992803647,0
OMC,62.25,12888572819,31
PAYX,99.99,36149944542,19
PEP,150.02,205122023839,13
PRU,78,30926690165,25
QCOM,148.41,167375815916,13
RE,236.86,9215724550,8
NOV,13.12,5182477146,150
NTAP,67.52,15388824708,29
OXY,17.41,16083935311,113
PCAR,86.28,29942783489,22
NSC,238.9,60441796286,8
QRVO,167.32,19445328526,11
RCL,71.42,15684884311,27
MNST,91.49,47939475073,21
MSCI,443.05,37250886258,4
MSFT,228.06,1726216681531,8
NOW,570.43,111852059594,3
PAYC,487.27,27343500229,4
PXD,112.65,18715737075,17
NDAQ,135.1,21675549459,14
PG,141.31,350458683719,14
PHM,47.48,12385487690,41
PKG,136.31,12989936009,14
PM,82.22,132356618245,24
PPL,26.78,20680037613,73
ROK,254.67,29161164993,7
ORLY,475.85,33862373766,4
OTIS,67.75,29239386797,29
PFE,37.78,207084131336,52
PNW,78.79,8829036545,25
RHI,62.72,7230371320,31
OKE,39.96,17595997226,49
MCO,286.7,54360061375,6
MDT,114.87,160308946557,17
MOS,22.53,8341743942,87
MSI,173.28,29539296480,11
NEE,77.31,146989718590,25
NEM,61.36,48041316626,32
NKE,144.95,229908762513,13
PH,274.23,34997953838,7
PPG,148.6,35633912853,13
PVH,93.7,6717070614,21
MMC,119.2,58666351072,16
MRK,83.25,204841699840,23
MTD,1145.87,27458763716,1
ODFL,202.63,24336606393,9
PLD,101.18,73608899318,19
PNC,148.12,61226828503,13
NVDA,542.68,344405604779,3
NWL,21.46,9172938396,92
PKI,145.9,16247336587,13
RF,15.87,15434315266,124
MKC,94.84,12755266832,20
MMM,176.51,105526721348,11
MPC,41.01,25910948720,48
NOC,303.14,51732829106,6
ORCL,65.98,199396278992,30
PEAK,30.54,16707223049,64
REGN,491.65,51507628294,4
MGM,31.6,15052197130,62
MS,67.3,122424315071,29
PGR,98.15,60156181980,20
PNR,54,9032368648,36
PSA,235.12,40873968693,8
PSX,67.82,29633246367,29
REG,46.68,7704312877,42
PEG,57.73,29035626156,34
MDLZ,58.9,85668282265,33
MKTX,602.16,22699689701,3
MTB,122.68,16163533314,16
NCLH,23.64,5041139993,83
NLSN,20.37,7120707787,97
NTRS,94.1,18922802072,21
NWSA,18.35,10743003948,107
RJF,96.34,13180446711,20
RMD,217.19,31541652128,9
NLOK,21.93,12806503471,90
NWS,17.73,10858698049,111
MLM,283,17581411281,6
NRG,35.14,8475836209,56
O,62.54,22437609482,31
PFG,49.1,13264668995,40
PRGO,43.96,6127443354,45
RL,102.36,7541957951,19
MCK,173.96,27369499086,11
MO,43.9,80773139020,45
MRO,6.59,5220617090,300
NUE,55.13,16511719585,35
PWR,69.46,10017666181,28
PYPL,255.14,295316556510,7
MET,47.04,42626407012,42
MHK,141.9,9864211268,13
NBL,8.84,4252191878,223
NFLX,531.16,241053019688,3
WU,21.9,9195833478,90
SCHW,52.91,100687826392,37
SNPS,263.73,40943782019,7
TGT,173.83,90070119359,11
WM,122.32,50091412966,16
WYNN,117.32,12638361889,16
XYL,100.5,18093072252,19
STT,72.09,25570257705,27
STX,65.41,16870235967,30
ULTA,270.93,15529267906,7
VRSN,220.64,25781502762,8
SYF,33.34,19695945428,59
TT,146,35683371227,13
V,213.6,473204106941,9
VIAC,34.94,22119556777,56
UAL,45.05,13189705822,43
WHR,191.19,12110339170,10
WMB,21.43,25778042817,92
SHW,764.45,66945771412,2
SLB,21.58,30768630342,91
TDG,603.55,33122961055,3
TMUS,133.04,166576211107,14
SBUX,105.88,121803923931,18
URI,229.46,16730994472,8
WAT,254.38,15854352070,7
WELL,63.45,27391547216,31
WAB,73.9,14360650944,26
WRK,45.29,12029279983,43
WST,294.21,21212669737,6
SNA,170.29,9354526141,11
SPGI,323.9,79643609711,6
UNP,204.88,142472786180,9
VAR,181.41,16015942940,10
UNH,343.57,329508733242,5
VMC,146.32,19335835748,13
VZ,60.71,248354249179,32
WBA,39.73,35302765483,49
TDY,379.61,14479660495,5
TSN,65.03,23281122579,30
UAA,17.54,7147410186,112
UDR,39.07,11060253421,50
SBAC,279.47,32097200149,7
TYL,446.09,18491610571,4
WEC,90.49,28823319243,21
TTWO,204.19,24122338955,9
VTR,49.4,19081390462,40
WDC,51.7,15708630033,38
WY,34.89,25999454836,56
RSG,96.27,31949298376,20
TEL,118.83,40059701192,16
TJX,69.09,83339748480,28
TSCO,153.37,18243489172,12
XRAY,53.23,11838769003,37
VNO,36.17,6788903307,54
RTX,69.69,107441589210,28
SEE,45.17,7101432102,43
TRV,138.36,35852553649,14
TXT,48.81,10994588198,40
VRSK,209.67,33820090678,9
WRB,66.47,11946309605,29
XEL,66.12,34127116605,29
XOM,42.82,175881212441,46
STE,187,15679910886,10
TFC,46.91,64273532502,42
TIF,132.65,15929265636,14
TPR,31.01,8385380872,63
T,29.7,210156831846,66
UHS,136.3,11704177138,14
WFC,29.72,119925164356,66
WLTW,218.74,27044387460,9
WMT,144.5,412160883771,13
SPG,82.56,28336347886,23
TFX,405.99,19082252351,4
VFC,86.87,32625695001,22
VLO,54.3,21904927564,36
STZ,221.31,41075223873,8
TROW,149.5,34476529513,13
UA,15.16,7368049598,130
UPS,177.91,157769281879,11
SLG,56.17,4174153044,35
SO,62.33,63074781239,31
SWK,183.4,29262422081,10
SWKS,156.43,25004344873,12
ROL,42.64,20893465010,46
ROP,427.77,43996729200,4
SIVB,377.7,19720784893,5
SJM,119.7,13671990767,16
TWTR,55.04,44399818286,35
UNM,21.54,4447464243,91
XLNX,144.59,35871348973,13
SYK,244.7,91739975117,8
SYY,75.18,37140400896,26
TAP,44.78,9187578548,44
TMO,473.8,186176403824,4
VRTX,244,62260832620,8
XRX,22.51,4588281190,87
ROST,119.61,43639635218,16
SRE,130.03,37603790168,15
TXN,169.31,156048775757,11
USB,46.4,69950908433,42
YUM,109.2,33378801507,18
ZBH,153.23,32379372022,12
ZBRA,398.11,20697280655,4
ZION,43,6908052011,46
ZTS,164.55,77598014054,12
